Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	     1.00	     0.00	     1.00
11	     1.00	     0.00	     2.00
10	     1.00	     0.00	     3.00
9	     1.00	     0.00	     4.00
8	     1.00	     0.00	     5.00
7	     1.00	     0.00	     6.00
6	     1.00	     0.00	     7.00
5	     1.00	     0.00	     8.00
4	     1.00	     0.00	     9.00
3	     1.00	     0.00	    10.00
2	     1.00	     0.00	    11.00
1	     1.00	     0.00	    12.00
